Program,T,N,Time
seq,1,14,21.911394937
posix,1,14,22.959125599
thrdpool,1,14,23.051063273
cilk,1,14,192.042274385
seq,1,15,141.030472725
posix,1,15,147.329854193
thrdpool,1,15,147.953088769
cilk,1,15,1209.528831098
seq,1,16,964.989962058
posix,1,16,1009.793869756
thrdpool,1,16,1014.608378788
cilk,1,16,8074.467235184
seq,2,14,21.965262391
posix,2,14,11.515717385
thrdpool,2,14,11.537654567
cilk,2,14,97.023454070
seq,2,15,141.250141663
posix,2,15,73.945041537
thrdpool,2,15,74.134595577
cilk,2,15,610.025025873
seq,2,16,967.855010032
posix,2,16,506.141893722
thrdpool,2,16,507.256228702
cilk,2,16,4059.643726679
seq,3,14,21.982744586
posix,3,14,8.314185040
thrdpool,3,14,7.734089750
cilk,3,14,64.966794649
seq,3,15,140.960583930
posix,3,15,52.198546749
thrdpool,3,15,49.506363597
cilk,3,15,415.434454732
seq,3,16,967.759355118
posix,3,16,367.051290423
thrdpool,3,16,339.360676813
cilk,3,16,2723.650525363
seq,4,14,22.008358094
posix,4,14,6.265838910
thrdpool,4,14,5.827041875
cilk,4,14,57.184439867
seq,4,15,141.535394976
posix,4,15,39.646591594
thrdpool,4,15,37.123980482
cilk,4,15,358.763352808
seq,4,16,965.626667769
posix,4,16,269.799772750
thrdpool,4,16,254.631788148
cilk,4,16,2411.476314425
seq,5,14,21.882047244
posix,5,14,5.277573611
thrdpool,5,14,4.680842961
cilk,5,14,50.120071679
seq,5,15,141.525895259
posix,5,15,31.496044060
thrdpool,5,15,29.948133319
cilk,5,15,309.589442879
seq,5,16,964.442770482
posix,5,16,221.984083655
thrdpool,5,16,204.692919653
cilk,5,16,2112.865003488
seq,6,14,21.974252436
posix,6,14,4.300452025
thrdpool,6,14,3.911020561
cilk,6,14,44.943821394
seq,6,15,141.372113662
posix,6,15,27.178583739
thrdpool,6,15,24.854886767
cilk,6,15,280.385925242
seq,6,16,966.014549170
posix,6,16,188.529184920
thrdpool,6,16,170.724810033
cilk,6,16,1894.156966618
seq,7,14,21.884200229
posix,7,14,3.532335897
thrdpool,7,14,3.363494415
cilk,7,14,39.827663494
seq,7,15,141.287647423
posix,7,15,22.942314895
thrdpool,7,15,21.531816384
cilk,7,15,251.394165602
seq,7,16,964.726046747
posix,7,16,163.783278615
thrdpool,7,16,146.501156185
cilk,7,16,1676.983345957
seq,8,14,22.008650994
posix,8,14,3.343194351
thrdpool,8,14,2.971913637
cilk,8,14,37.195577737
seq,8,15,140.989845296
posix,8,15,21.254801099
thrdpool,8,15,19.012293846
cilk,8,15,232.054005615
seq,8,16,965.069200781
posix,8,16,137.658358270
thrdpool,8,16,129.240818624
cilk,8,16,1555.858718656
seq,9,14,21.915188997
posix,9,14,3.131020461
thrdpool,9,14,2.655772404
cilk,9,14,31.199827480
seq,9,15,142.195520758
posix,9,15,19.739089751
thrdpool,9,15,17.021069260
cilk,9,15,197.566858805
seq,9,16,964.191609121
posix,9,16,138.264318505
thrdpool,9,16,115.872060686
cilk,9,16,1309.454720757
seq,10,14,21.903959445
posix,10,14,2.794546227
thrdpool,10,14,2.422542342
cilk,10,14,26.788648496
seq,10,15,141.314472907
posix,10,15,17.826449161
thrdpool,10,15,15.357235569
cilk,10,15,167.988083385
seq,10,16,966.234441298
posix,10,16,122.749032322
thrdpool,10,16,105.044273015
cilk,10,16,1122.056195797
seq,11,14,21.990863579
posix,11,14,2.598037360
thrdpool,11,14,2.206351821
cilk,11,14,23.483708621
seq,11,15,141.541013651
posix,11,15,16.247183204
thrdpool,11,15,14.203081840
cilk,11,15,148.689057295
seq,11,16,963.766052687
posix,11,16,107.918152667
thrdpool,11,16,96.156368092
cilk,11,16,995.387002209
seq,12,14,21.987860149
posix,12,14,2.349391282
thrdpool,12,14,2.040836787
cilk,12,14,22.322676261
seq,12,15,141.184385616
posix,12,15,14.505358491
thrdpool,12,15,12.868427125
cilk,12,15,142.619807269
seq,12,16,967.642618706
posix,12,16,98.613980495
thrdpool,12,16,89.205019988
cilk,12,16,941.691666362
seq,13,14,22.614484644
posix,13,14,2.297184834
thrdpool,13,14,1.981138154
cilk,13,14,21.465666967
seq,13,15,141.316499629
posix,13,15,13.857431905
thrdpool,13,15,12.294671420
cilk,13,15,135.217897482
seq,13,16,968.265803632
posix,13,16,92.601013799
thrdpool,13,16,82.174832192
cilk,13,16,904.728858755
seq,14,14,21.975202211
posix,14,14,2.086443348
thrdpool,14,14,1.823852395
cilk,14,14,20.636126595
seq,14,15,142.169131080
posix,14,15,13.194035717
thrdpool,14,15,11.641722046
cilk,14,15,130.493537161
seq,14,16,966.763962632
posix,14,16,86.742554307
thrdpool,14,16,76.523498915
cilk,14,16,876.263651597
seq,15,14,21.946603411
posix,15,14,2.174272506
thrdpool,15,14,1.739184162
cilk,15,14,19.988380491
seq,15,15,141.748484426
posix,15,15,12.279677303
thrdpool,15,15,11.143281453
